pressure (bar),Rs (sm3/sm3),oil FVF (rm3/sm3),gas FVF (rm3/sm3)
11.14575, 3.001414224, 1.02148336, 0.098411986
21.27825, 6.382525401, 1.028739855, 0.050839815
31.41075, 9.763636578, 1.03599635, 0.033974513
41.54325, 13.14474776, 1.043252845, 0.02534882
51.67575, 16.52585893, 1.050509341, 0.02011748
61.80825, 19.90697011, 1.057765836, 0.016612418
71.94075, 23.28808129, 1.065022331, 0.01410582
82.07325, 26.66919246, 1.072278826, 0.012228918
92.20575, 30.05030364, 1.079535321, 0.010775217
102.33825, 33.43141482, 1.086791816, 0.009620054
112.47075, 36.812526, 1.094048311, 0.008683484
122.60325, 40.19363717, 1.101304806, 0.007911808
132.73575, 43.57474835, 1.108561302, 0.0072678
142.86825, 46.95585953, 1.115817797, 0.006724332
153.00075, 50.3369707, 1.123074292, 0.006262251
163.13325, 53.71808188, 1.130330787, 0.005865154
173.26575, 57.09919306, 1.137587282, 0.005522583
